                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1967,                 1.1623,                 1.8243,                0.81901,                0.53931,                0.59339,                0.42137,                 1.1398,                 1.2314,                 1.8017,              0.0014558,              0.0014558,              0.0014558
                     35,                  1.189,                 1.1708,                 1.7935,                0.74613,                0.56727,                0.59402,                0.41016,                 1.1448,                  1.206,                 1.8026,              0.0014492,              0.0014492,              0.0014492
                     36,                 1.2178,                 1.1969,                 1.8038,                0.81319,                0.56896,                  0.599,                0.43022,                 1.1202,                 1.1472,                 1.7545,              0.0014426,              0.0014426,              0.0014426
                     37,                 1.2273,                 1.1759,                 1.8124,                0.83089,                0.55536,                0.61285,                0.44394,                  1.097,                 1.1616,                 1.7408,               0.001436,               0.001436,               0.001436
                     38,                 1.2346,                 1.1489,                 1.7879,                0.84663,                0.57111,                0.62951,                0.45526,                 1.0671,                 1.1016,                  1.682,              0.0014294,              0.0014294,              0.0014294
                     39,                 1.1786,                 1.1139,                 1.7473,                 0.8945,                0.55216,                 0.6338,                0.45823,                 1.1047,                 1.0801,                   1.73,              0.0014228,              0.0014228,              0.0014228
                     40,                 1.1825,                  1.101,                 1.7421,                0.83012,                0.58543,                0.62797,                0.45338,                 1.1242,                 1.0712,                 1.7342,              0.0014161,              0.0014161,              0.0014161
                     41,                 1.1425,                 1.0688,                 1.6944,                0.86042,                0.54534,                0.61127,                0.44872,                 1.0974,                 1.1108,                 1.7068,              0.0014095,              0.0014095,              0.0014095
                     42,                 1.1165,                 1.0789,                 1.7185,                 0.8267,                0.56122,                0.61341,                0.45382,                 1.0326,                  1.115,                 1.6458,              0.0014029,              0.0014029,              0.0014029
                     43,                 1.1238,                 1.0217,                 1.6791,                0.86083,                0.57872,                0.62689,                0.45223,                 1.0633,                 1.1125,                 1.6639,              0.0013963,              0.0013963,              0.0013963
